"통계분류","항목","단위","1994 년","1995 년","1996 년","2002 년","2004 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2013 년","2015 년","2017 년","2019 년","2021 년",
"30~39세","문학외교양","","","","","14.1","12.8","22.6","17.1","16.6","15.6","17.7","","","","","","",
"30~39세","경제, 경영","","3.6","3.3","4.1","3.4","2.6","6.1","6","7.5","5.9","0","","","","","","",
"30~39세","종교","","4.1","6","5.5","3.2","3.5","5.4","5.1","2.8","3","0","","","","","","",
"30~39세","과학, 기술","",".9","1.2","1.4",".9","1","1.8",".8",".7","1.9","0","","","","","","",
"30~39세","예술","",".1",".3",".4","1.1",".4","3",".4",".7",".5","0","","","","","","",
"30~39세","법, 정치","","","","",".8","1",".7",".4",".4","1","0","","","","","","",
"30~39세","실용, 취미도서류","","5.6","2.1","3.3","21.2","26.3","30.2","29.2","23.9","23.6","39.2","","","","","","",
"30~39세","요리","","","","","1.9","1.5",".9","2.9","1.6","1.3","0","","","","","","",
"30~39세","건강, 다이어트","","","","","2.6","3.5","4.2","3.7","2","2.8","0","","","","","","",
"30~39세","여성, 육아","","","","","2.6","4.8","5","3","5.1","4.5","0","","","","","","",
"30~39세","취미","","","","","1.5","1.8","2.6","2.8","2.8","2.6","0","","","","","","",
"30~39세","연예, 오락","","","","","3.4","2.3","2.3","2.1","2.3","1.8","0","","","","","","",
"30~39세","여행","","","","","1","1.6","2.9",".8","1","2.3","0","","","","","","",
"30~39세","스포츠","",".5",".8",".4","3.1","3.3","2.8","1.7","1.8","1.7","0","","","","","","",
"30~39세","컴퓨터","","1.4","1.7","2.2","1.7","2.1","2.3","2.3",".2","1.1","0","","","","","","",
"30~39세","만화, 무협지","","","","","6.5","7.2","4.9","6.4","5.9","7.4","0","","","","","","",
"30~39세","무협지, 판타지소설","","","","","3.8","3.7","3.3","4.4","4.7","5.4","0","","","","","","",
"30~39세","만화","","","","","2.7","3.5","1.6","2","1.2","2","0","","","","","","",
